customer_id,age,gender,tenure,monthly_charges,total_charges,contract,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,churn
CUST_000030,40,Female,31,59.81,2111.8,Month-to-month,DSL,No,Yes,No,Bank transfer,No,Yes
CUST_000031,35,Male,13,111.74,1663.1,One year,Fiber optic,No,No,Yes,Mailed check,Yes,Yes
CUST_000032,72,Male,72,77.8,5881.9,Month-to-month,Fiber optic,No,No,No,Bank transfer,Yes,Yes
CUST_000033,44,Male,10,82.31,727.69,Month-to-month,Fiber optic,Yes,Yes,No,Credit card,Yes,Yes
CUST_000034,29,Female,61,59.75,3385.84,Month-to-month,DSL,Yes,Yes,No,Credit card,No,No
CUST_000035,57,Female,64,69.37,4460.21,One year,Fiber optic,No,Yes,No,Electronic check,Yes,No
CUST_000036,26,Male,6,26.52,175.9,One year,No,No internet service,No internet service,No internet service,Bank transfer,Yes,No
CUST_000037,48,Female,38,48.45,1667.05,Month-to-month,DSL,No,No,Yes,Electronic check,No,No
CUST_000038,18,Female,13,40.61,465.28,Month-to-month,DSL,No,Yes,Yes,Mailed check,No,Yes
CUST_000039,25,Male,59,74.9,3854.97,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,Yes,No
CUST_000040,47,Male,14,88.37,1239.77,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,Yes,No
CUST_000041,56,Female,32,57.64,2057.35,Month-to-month,DSL,Yes,No,No,Electronic check,No,No
CUST_000042,47,Female,15,111.21,1439.13,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,Yes,No
CUST_000043,43,Female,6,118.86,651.61,Month-to-month,Fiber optic,No,No,No,Electronic check,No,Yes
CUST_000044,40,Female,5,21.48,113.63,Two year,No,No internet service,No internet service,No internet service,Credit card,Yes,No
CUST_000045,22,Female,13,41.5,592.24,Month-to-month,DSL,No,No,Yes,Mailed check,No,No
CUST_000046,34,Female,33,106.61,3842.57,One year,Fiber optic,No,No,Yes,Credit card,Yes,Yes
CUST_000047,38,Male,22,51.22,1223.21,Month-to-month,DSL,No,No,No,Bank transfer,No,No
CUST_000048,60,Male,28,83.02,2066.39,Month-to-month,Fiber optic,No,No,Yes,Credit card,Yes,Yes
CUST_000049,50,Male,7,76.31,517.7,Two year,Fiber optic,No,No,No,Bank transfer,Yes,No
CUST_000050,18,Female,15,80.43,1381.9,Month-to-month,Fiber optic,Yes,Yes,No,Bank transfer,No,Yes
CUST_000051,49,Female,1,28.59,32.78,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,Yes
CUST_000052,39,Female,40,40.31,1661.95,One year,DSL,No,No,Yes,Bank transfer,Yes,Yes
CUST_000053,34,Male,72,118.03,9031.68,Month-to-month,Fiber optic,Yes,Yes,No,Electronic check,No,Yes
CUST_000054,54,Female,12,38.23,520.87,Month-to-month,DSL,No,Yes,No,Electronic check,Yes,Yes
CUST_000055,60,Male,1,119.21,117.42,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,No,Yes
CUST_000056,58,Male,4,60.26,214.78,Month-to-month,DSL,Yes,Yes,Yes,Electronic check,Yes,Yes
CUST_000057,32,Female,25,28.46,747.56,One year,No,No internet service,No internet service,No internet service,Mailed check,No,No
CUST_000058,40,Female,22,34.8,871.28,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,Yes
CUST_000059,49,Female,37,33.43,1310.09,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000060,59,Male,7,41.4,316.17,Month-to-month,DSL,Yes,No,Yes,Electronic check,No,Yes
CUST_000061,37,Male,34,83.65,2778.19,Month-to-month,Fiber optic,Yes,No,No,Electronic check,Yes,Yes
CUST_000062,42,Male,27,50.39,1195.82,Two year,DSL,No,No,No,Electronic check,No,Yes
CUST_000063,28,Male,9,32.76,265.55,Month-to-month,No,No internet service,No internet service,No internet service,Bank transfer,No,No
CUST_000064,27,Female,18,94.86,1954.72,Two year,Fiber optic,Yes,Yes,No,Electronic check,No,No
CUST_000065,57,Female,3,91.01,272.47,One year,Fiber optic,No,No,No,Credit card,Yes,No
CUST_000066,65,Female,14,89.37,1068.01,One year,Fiber optic,Yes,Yes,No,Credit card,Yes,No
CUST_000067,43,Male,51,49.95,2895.46,Month-to-month,DSL,No,No,Yes,Electronic check,Yes,Yes
CUST_000068,60,Female,13,88.89,1154.8,Month-to-month,Fiber optic,Yes,No,No,Electronic check,Yes,Yes
CUST_000069,50,Male,43,51.24,2425.59,Two year,DSL,No,Yes,Yes,Electronic check,Yes,No
CUST_000070,35,Female,21,37.76,804.49,Two year,No,No internet service,No internet service,No internet service,Credit card,No,No
CUST_000071,50,Male,5,32.66,143.79,Month-to-month,No,No internet service,No internet service,No internet service,Bank transfer,Yes,Yes
CUST_000072,68,Male,20,104.74,2167.43,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,No,No
CUST_000073,44,Female,16,31.95,587.48,Month-to-month,No,No internet service,No internet service,No internet service,Credit card,Yes,Yes
CUST_000074,68,Female,12,54.29,560.55,Two year,DSL,No,No,No,Credit card,Yes,No
CUST_000075,18,Male,3,31.57,104.42,Month-to-month,No,No internet service,No internet service,No internet service,Credit card,Yes,Yes
CUST_000076,57,Male,12,35.81,395.62,One year,DSL,No,No,No,Credit card,Yes,No
CUST_000077,46,Female,1,119.98,116.16,One year,Fiber optic,No,No,No,Credit card,No,Yes
CUST_000078,40,Male,2,66.85,128.59,One year,Fiber optic,Yes,No,Yes,Credit card,No,No
CUST_000079,46,Male,12,46.85,629.46,One year,DSL,No,No,No,Mailed check,Yes,No
CUST_000080,18,Male,8,70.78,567.0,Month-to-month,Fiber optic,No,No,No,Credit card,No,No
CUST_000081,41,Male,62,37.91,2313.17,Two year,DSL,No,No,No,Bank transfer,Yes,No
CUST_000082,50,Female,11,35.87,432.21,One year,No,No internet service,No internet service,No internet service,Mailed check,Yes,Yes
CUST_000083,67,Female,34,47.78,1404.68,One year,DSL,Yes,No,No,Mailed check,Yes,No
CUST_000084,37,Male,18,109.06,1719.53,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,No,No
CUST_000085,32,Female,29,80.0,1987.1,One year,Fiber optic,Yes,No,No,Mailed check,Yes,No
CUST_000086,37,Male,7,42.69,315.68,Month-to-month,DSL,Yes,No,No,Credit card,Yes,No
CUST_000087,58,Male,68,78.82,5400.95,Month-to-month,Fiber optic,No,No,No,Electronic check,Yes,No
CUST_000088,49,Male,18,98.89,1980.82,One year,Fiber optic,Yes,No,Yes,Credit card,No,No
CUST_000089,37,Male,42,59.45,2495.8,Month-to-month,DSL,No,No,Yes,Electronic check,No,No
CUST_000090,52,Male,10,89.87,823.7,One year,Fiber optic,No,Yes,No,Electronic check,Yes,No
CUST_000091,46,Female,2,46.38,101.25,Month-to-month,DSL,No,No,Yes,Credit card,No,Yes
CUST_000092,59,Female,26,64.21,1566.45,One year,DSL,No,No,Yes,Electronic check,Yes,Yes
CUST_000093,34,Male,1,71.42,80.76,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,Yes,Yes
CUST_000094,40,Female,15,91.76,1273.35,One year,Fiber optic,Yes,No,Yes,Electronic check,Yes,No
CUST_000095,39,Female,5,28.17,126.81,Month-to-month,No,No internet service,No internet service,No internet service,Credit card,Yes,Yes
CUST_000096,23,Female,23,21.96,504.07,One year,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000097,49,Female,72,79.75,4967.72,Two year,Fiber optic,No,No,Yes,Electronic check,Yes,No
CUST_000098,48,Female,14,66.56,802.24,Month-to-month,Fiber optic,No,No,Yes,Credit card,No,No
CUST_000099,45,Female,40,61.31,2449.47,Month-to-month,DSL,Yes,Yes,No,Electronic check,Yes,No
CUST_000100,41,Female,17,53.24,827.72,One year,DSL,Yes,Yes,Yes,Credit card,Yes,No
CUST_000101,23,Female,16,109.83,1498.62,One year,Fiber optic,No,Yes,No,Credit card,Yes,Yes
CUST_000102,38,Male,63,30.43,1799.8,One year,No,No internet service,No internet service,No internet service,Electronic check,No,No
CUST_000103,39,Male,52,52.99,2736.77,One year,DSL,Yes,Yes,No,Mailed check,No,No
CUST_000104,32,Female,36,56.03,1953.11,Month-to-month,DSL,No,No,No,Electronic check,Yes,No
CUST_000105,42,Male,8,114.94,818.96,Month-to-month,Fiber optic,No,No,Yes,Electronic check,No,Yes
CUST_000106,51,Male,18,37.75,695.74,Month-to-month,DSL,No,Yes,No,Mailed check,Yes,No
CUST_000107,73,Female,6,83.2,530.7,Month-to-month,Fiber optic,No,No,No,Bank transfer,Yes,Yes
CUST_000108,47,Male,14,104.0,1532.68,One year,Fiber optic,Yes,No,Yes,Credit card,Yes,No
CUST_000109,48,Female,15,117.71,1709.38,Month-to-month,Fiber optic,No,Yes,No,Electronic check,Yes,No
CUST_000110,43,Female,42,64.42,2411.48,Two year,DSL,Yes,No,Yes,Electronic check,Yes,No
CUST_000111,18,Female,54,32.76,1768.77,Two year,No,No internet service,No internet service,No internet service,Bank transfer,No,No
CUST_000112,44,Male,12,40.81,547.08,Two year,DSL,No,No,Yes,Electronic check,Yes,No
CUST_000113,45,Male,1,22.38,22.17,Two year,No,No internet service,No internet service,No internet service,Bank transfer,No,No
CUST_000114,80,Female,47,117.03,4998.25,Month-to-month,Fiber optic,No,Yes,No,Mailed check,No,No
CUST_000115,42,Female,4,28.68,100.71,Two year,No,No internet service,No internet service,No internet service,Credit card,Yes,No
CUST_000116,49,Female,23,75.71,1973.24,Month-to-month,Fiber optic,Yes,Yes,Yes,Bank transfer,Yes,No
CUST_000117,44,Male,1,63.02,67.61,Month-to-month,DSL,No,No,No,Mailed check,Yes,No
CUST_000118,27,Male,12,22.09,250.21,One year,No,No internet service,No internet service,No internet service,Bank transfer,Yes,No
CUST_000119,62,Female,72,105.13,7104.64,Month-to-month,Fiber optic,No,No,No,Credit card,No,Yes
CUST_000120,56,Male,2,53.76,120.27,Two year,DSL,No,No,Yes,Credit card,Yes,No
CUST_000121,56,Female,13,37.63,441.87,One year,DSL,No,No,Yes,Electronic check,Yes,No
CUST_000122,31,Male,8,83.63,676.07,One year,Fiber optic,No,No,No,Mailed check,Yes,No
CUST_000123,66,Male,56,73.25,4364.74,Month-to-month,Fiber optic,No,No,No,Mailed check,No,No
CUST_000124,23,Male,48,98.25,4569.41,One year,Fiber optic,No,No,No,Mailed check,Yes,No
CUST_000125,53,Male,6,91.24,471.88,Month-to-month,Fiber optic,No,No,No,Electronic check,No,Yes
CUST_000126,77,Female,2,65.24,119.82,Two year,Fiber optic,Yes,No,No,Credit card,Yes,No
CUST_000127,30,Female,23,118.66,3058.16,Month-to-month,Fiber optic,Yes,Yes,No,Electronic check,No,Yes
CUST_000128,36,Male,9,84.23,763.33,One year,Fiber optic,Yes,No,Yes,Electronic check,No,Yes
CUST_000129,46,Female,26,42.75,1216.68,Month-to-month,DSL,Yes,No,No,Electronic check,No,No
CUST_000130,37,Male,1,24.45,24.86,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,Yes
CUST_000131,21,Female,3,39.76,135.15,Month-to-month,DSL,Yes,No,No,Electronic check,Yes,No
CUST_000132,46,Male,27,119.95,3636.16,Month-to-month,Fiber optic,No,No,No,Credit card,No,Yes
CUST_000133,29,Female,5,81.23,404.06,One year,Fiber optic,Yes,Yes,Yes,Credit card,No,No
CUST_000134,52,Female,46,87.3,3796.87,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,Yes,No
CUST_000135,31,Female,1,61.14,63.0,Month-to-month,DSL,No,No,No,Electronic check,Yes,Yes
CUST_000136,68,Female,5,54.26,285.53,One year,DSL,No,No,Yes,Credit card,Yes,No
CUST_000137,33,Female,72,85.28,6137.13,Month-to-month,Fiber optic,No,No,No,Electronic check,No,No
CUST_000138,40,Female,13,37.97,541.33,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000139,57,Female,29,106.23,2788.0,Two year,Fiber optic,Yes,Yes,No,Electronic check,No,No
CUST_000140,26,Female,4,77.53,294.71,Month-to-month,Fiber optic,No,No,No,Mailed check,No,Yes
CUST_000141,48,Female,22,54.31,1261.63,Month-to-month,DSL,No,Yes,No,Credit card,Yes,No
CUST_000142,64,Male,31,62.67,1795.13,Month-to-month,DSL,No,No,Yes,Credit card,No,No
CUST_000143,20,Female,9,49.89,440.91,Month-to-month,DSL,Yes,Yes,No,Bank transfer,No,No
CUST_000144,47,Male,42,57.01,2727.53,Month-to-month,DSL,No,No,No,Mailed check,Yes,No
CUST_000145,48,Female,22,118.41,2703.39,Month-to-month,Fiber optic,No,No,No,Electronic check,No,Yes
CUST_000146,56,Male,11,55.71,695.37,One year,DSL,No,No,Yes,Mailed check,No,No
CUST_000147,26,Female,19,38.07,771.6,Month-to-month,DSL,Yes,No,No,Credit card,No,No
CUST_000148,25,Male,20,78.45,1674.75,Month-to-month,Fiber optic,No,No,No,Mailed check,Yes,No
CUST_000149,52,Male,4,31.9,131.12,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,Yes
CUST_000150,49,Male,12,25.51,273.26,One year,No,No internet service,No internet service,No internet service,Electronic check,No,No
CUST_000151,48,Female,10,117.66,1183.56,Two year,Fiber optic,No,No,Yes,Bank transfer,Yes,No
CUST_000152,50,Male,12,47.16,523.93,Month-to-month,DSL,No,No,Yes,Bank transfer,Yes,Yes
CUST_000153,34,Male,34,90.15,3523.64,Two year,Fiber optic,No,No,No,Mailed check,No,No
CUST_000154,48,Female,15,56.05,781.97,Month-to-month,DSL,Yes,No,No,Credit card,Yes,No
CUST_000155,49,Female,67,93.83,5778.69,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,Yes,No
CUST_000156,34,Male,8,86.02,713.74,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,No,No
CUST_000157,72,Male,12,69.22,833.37,Month-to-month,Fiber optic,Yes,Yes,Yes,Credit card,Yes,No
CUST_000158,52,Male,37,31.93,1011.77,Month-to-month,No,No internet service,No internet service,No internet service,Credit card,Yes,No
CUST_000159,27,Female,18,112.72,1803.46,Month-to-month,Fiber optic,Yes,No,No,Electronic check,No,No
CUST_000160,54,Male,19,102.72,2133.8,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,No,Yes
CUST_000161,30,Male,1,46.44,46.21,Month-to-month,DSL,Yes,No,Yes,Bank transfer,Yes,No
CUST_000162,56,Male,12,22.55,241.86,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,No,Yes
CUST_000163,62,Male,7,59.49,412.09,Month-to-month,DSL,No,No,No,Credit card,Yes,Yes
CUST_000164,32,Female,72,38.83,2588.72,Two year,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000165,59,Male,8,46.65,342.25,Month-to-month,DSL,No,No,No,Credit card,Yes,Yes
CUST_000166,51,Male,51,56.86,3298.06,One year,DSL,Yes,No,No,Electronic check,Yes,No
CUST_000167,57,Male,27,28.22,730.4,One year,No,No internet service,No internet service,No internet service,Bank transfer,No,Yes
CUST_000168,73,Male,10,50.07,432.57,Month-to-month,DSL,Yes,Yes,Yes,Electronic check,Yes,No
CUST_000169,41,Male,18,36.73,754.43,Month-to-month,No,No internet service,No internet service,No internet service,Mailed check,Yes,Yes
CUST_000170,33,Female,44,37.5,1795.95,Month-to-month,DSL,No,No,No,Electronic check,Yes,Yes
CUST_000171,31,Female,51,30.61,1446.09,One year,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000172,32,Female,4,76.8,298.8,Month-to-month,Fiber optic,No,No,Yes,Credit card,No,Yes
CUST_000173,43,Female,9,83.69,835.07,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,Yes,No
CUST_000174,50,Female,9,100.44,865.29,Month-to-month,Fiber optic,No,No,Yes,Mailed check,Yes,No
CUST_000175,49,Male,1,35.82,36.54,Two year,DSL,Yes,No,Yes,Bank transfer,Yes,No
CUST_000176,57,Female,21,31.88,676.48,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000177,45,Female,46,43.5,1941.75,One year,DSL,No,Yes,No,Electronic check,Yes,No
CUST_000178,66,Female,11,101.82,1166.89,Month-to-month,Fiber optic,No,No,Yes,Electronic check,Yes,Yes
CUST_000179,41,Male,32,72.79,2310.62,Two year,Fiber optic,Yes,No,No,Bank transfer,No,No
CUST_000180,80,Male,23,105.47,2077.39,Month-to-month,Fiber optic,No,Yes,No,Credit card,No,Yes
CUST_000181,54,Female,11,54.37,654.48,Month-to-month,DSL,Yes,Yes,Yes,Credit card,No,Yes
CUST_000182,32,Female,3,64.14,170.09,Two year,DSL,No,No,No,Credit card,No,No
CUST_000183,28,Female,29,62.34,1788.38,One year,DSL,No,Yes,Yes,Bank transfer,Yes,No
CUST_000184,52,Male,46,25.67,1209.12,Month-to-month,No,No internet service,No internet service,No internet service,Credit card,No,No
CUST_000185,41,Male,27,35.82,1026.77,Month-to-month,DSL,No,Yes,No,Electronic check,Yes,No
CUST_000186,55,Male,1,33.11,32.22,One year,No,No internet service,No internet service,No internet service,Mailed check,Yes,No
CUST_000187,52,Female,5,53.09,284.21,Two year,DSL,Yes,No,No,Mailed check,Yes,No
CUST_000188,43,Male,1,35.82,31.86,Month-to-month,DSL,No,No,No,Electronic check,Yes,Yes
CUST_000189,32,Male,20,71.75,1501.06,One year,Fiber optic,No,No,No,Credit card,Yes,No
CUST_000190,22,Female,33,52.54,1903.56,One year,DSL,No,No,Yes,Electronic check,Yes,No
CUST_000191,38,Male,2,115.15,257.21,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,No,Yes
CUST_000192,57,Female,43,38.13,1678.73,One year,No,No internet service,No internet service,No internet service,Mailed check,No,No
CUST_000193,48,Male,19,39.54,709.09,Month-to-month,DSL,Yes,No,No,Electronic check,Yes,Yes
CUST_000194,26,Female,28,86.15,2168.58,Two year,Fiber optic,No,No,Yes,Electronic check,Yes,No
CUST_000195,47,Female,72,67.38,4626.58,One year,Fiber optic,No,No,No,Electronic check,Yes,No
CUST_000196,50,Female,2,49.08,99.34,One year,DSL,No,No,No,Credit card,Yes,No
CUST_000197,31,Female,55,57.59,2878.89,Month-to-month,DSL,No,No,Yes,Bank transfer,Yes,No
CUST_000198,47,Male,3,35.8,121.98,Month-to-month,No,No internet service,No internet service,No internet service,Bank transfer,No,No
CUST_000199,45,Male,11,49.97,615.16,Month-to-month,DSL,Yes,No,Yes,Electronic check,Yes,No
CUST_000200,27,Male,45,21.92,848.19,One year,No,No internet service,No internet service,No internet service,Mailed check,Yes,No
CUST_000201,50,Female,56,85.98,4904.38,One year,Fiber optic,No,No,Yes,Electronic check,No,No
CUST_000202,53,Female,16,62.96,1094.79,Month-to-month,DSL,Yes,No,No,Credit card,Yes,No
CUST_000203,61,Male,21,77.63,1505.71,One year,Fiber optic,No,No,Yes,Electronic check,Yes,No
CUST_000204,60,Female,29,26.4,771.09,Two year,No,No internet service,No internet service,No internet service,Bank transfer,Yes,No
CUST_000205,24,Male,42,106.08,4329.71,Month-to-month,Fiber optic,No,No,No,Bank transfer,Yes,Yes
CUST_000206,30,Female,3,105.35,287.28,Month-to-month,Fiber optic,No,Yes,No,Mailed check,No,Yes
CUST_000207,52,Female,39,38.24,1542.69,One year,No,No internet service,No internet service,No internet service,Bank transfer,No,No
CUST_000208,52,Male,15,46.64,803.22,Month-to-month,DSL,Yes,No,Yes,Credit card,Yes,Yes
CUST_000209,52,Male,14,30.29,406.92,One year,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000210,80,Male,13,29.35,387.55,Month-to-month,No,No internet service,No internet service,No internet service,Bank transfer,No,No
CUST_000211,53,Female,17,116.03,1870.64,Two year,Fiber optic,No,No,No,Bank transfer,Yes,No
CUST_000212,62,Male,69,35.39,2718.05,Month-to-month,No,No internet service,No internet service,No internet service,Mailed check,Yes,Yes
CUST_000213,59,Male,19,110.73,2333.99,Month-to-month,Fiber optic,Yes,No,No,Electronic check,No,No
CUST_000214,54,Male,72,72.32,4705.25,Month-to-month,Fiber optic,Yes,No,No,Electronic check,No,No
CUST_000215,40,Male,4,108.55,486.3,Month-to-month,Fiber optic,Yes,No,No,Credit card,No,Yes
CUST_000216,56,Female,30,88.81,2385.75,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,Yes,Yes
CUST_000217,33,Female,40,66.28,2329.43,Month-to-month,Fiber optic,No,No,No,Electronic check,Yes,No
CUST_000218,41,Male,27,36.8,1039.19,Two year,DSL,No,No,No,Electronic check,No,No
CUST_000219,37,Female,22,102.28,2173.14,Two year,Fiber optic,No,No,Yes,Electronic check,Yes,Yes
CUST_000220,46,Female,19,46.16,885.13,Month-to-month,DSL,Yes,No,No,Electronic check,Yes,Yes
CUST_000221,79,Male,47,61.04,3000.19,One year,DSL,No,No,No,Mailed check,Yes,No
CUST_000222,18,Male,41,57.03,2024.56,Month-to-month,DSL,Yes,No,No,Electronic check,Yes,No
CUST_000223,55,Female,3,20.43,57.48,Two year,No,No internet service,No internet service,No internet service,Credit card,Yes,Yes
CUST_000224,20,Female,45,102.78,4570.86,One year,Fiber optic,Yes,No,Yes,Credit card,Yes,No
CUST_000225,37,Male,12,75.58,843.45,Month-to-month,Fiber optic,No,Yes,No,Mailed check,Yes,No
CUST_000226,61,Male,7,47.68,288.6,One year,DSL,No,No,Yes,Credit card,Yes,No
CUST_000227,45,Male,48,99.36,4177.9,One year,Fiber optic,No,No,No,Mailed check,Yes,No
CUST_000228,28,Female,13,61.18,867.34,Month-to-month,DSL,No,No,No,Bank transfer,Yes,Yes
CUST_000229,34,Male,39,48.68,2132.83,Two year,DSL,Yes,No,No,Electronic check,Yes,No
CUST_000230,55,Male,7,109.47,686.34,Two year,Fiber optic,Yes,Yes,No,Electronic check,Yes,No
CUST_000231,34,Female,1,108.06,99.93,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,Yes,Yes
CUST_000232,48,Female,16,47.44,793.71,One year,DSL,Yes,No,Yes,Electronic check,Yes,No
CUST_000233,45,Male,2,92.55,210.33,Two year,Fiber optic,No,Yes,Yes,Credit card,Yes,No
CUST_000234,35,Male,33,34.01,1054.85,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000235,77,Female,7,35.93,278.31,Month-to-month,DSL,No,Yes,Yes,Electronic check,Yes,Yes
CUST_000236,54,Male,14,61.72,865.64,Month-to-month,DSL,Yes,No,No,Credit card,No,Yes
CUST_000237,18,Male,2,107.34,244.08,Two year,Fiber optic,No,No,No,Bank transfer,Yes,Yes
CUST_000238,47,Female,8,42.48,302.76,One year,DSL,Yes,Yes,Yes,Mailed check,No,No
CUST_000239,35,Male,36,39.62,1629.0,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,No,Yes
CUST_000240,57,Female,3,74.87,220.63,Two year,Fiber optic,Yes,Yes,No,Credit card,Yes,Yes
CUST_000241,33,Female,25,115.27,3273.33,One year,Fiber optic,No,Yes,No,Electronic check,Yes,No
CUST_000242,43,Male,59,82.85,4827.57,Two year,Fiber optic,No,Yes,Yes,Bank transfer,Yes,No
CUST_000243,52,Male,27,106.97,2914.25,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,Yes,No
CUST_000244,57,Female,39,48.69,2072.53,Month-to-month,DSL,Yes,No,No,Mailed check,No,No
CUST_000245,26,Female,2,34.73,74.1,One year,No,No internet service,No internet service,No internet service,Credit card,No,No
CUST_000246,39,Female,6,73.57,457.26,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,Yes,No
CUST_000247,37,Female,53,43.09,2226.89,One year,DSL,No,No,No,Credit card,Yes,No
CUST_000248,35,Male,30,70.49,2300.23,Two year,Fiber optic,No,No,No,Bank transfer,Yes,No
CUST_000249,71,Female,24,60.95,1659.5,Month-to-month,DSL,No,No,No,Bank transfer,Yes,Yes
CUST_000250,51,Male,26,43.89,973.33,Two year,DSL,No,Yes,Yes,Credit card,Yes,No
CUST_000251,26,Male,12,103.2,1271.04,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,Yes,No
CUST_000252,58,Male,1,110.11,122.2,Month-to-month,Fiber optic,Yes,No,No,Credit card,Yes,Yes
CUST_000253,76,Male,36,114.58,4314.35,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,No,No
CUST_000254,60,Female,27,38.19,1124.19,Month-to-month,DSL,Yes,Yes,Yes,Credit card,No,No
CUST_000255,22,Male,15,114.12,1914.68,Month-to-month,Fiber optic,No,Yes,No,Credit card,Yes,No
